20=0020#ASCII character  
21=0021#ASCII character !
22=0022#ASCII character "
23=0023#ASCII character #
24=0024#ASCII character $
25=0025#ASCII character %
26=0026#ASCII character &
27=0027#ASCII character '
28=0028#ASCII character (
29=0029#ASCII character )
2A=002A#ASCII character *
2B=002B#ASCII character +
2C=002C#ASCII character ,
2D=002D#ASCII character -
2E=002E#ASCII character .
2F=002F#ASCII character /
30=0030#ASCII character 0
31=0031#ASCII character 1
32=0032#ASCII character 2
33=0033#ASCII character 3
34=0034#ASCII character 4
35=0035#ASCII character 5
36=0036#ASCII character 6
37=0037#ASCII character 7
38=0038#ASCII character 8
39=0039#ASCII character 9
3A=003A#ASCII character :
3B=003B#ASCII character ;
3C=003C#ASCII character <
3D=003D#ASCII character =
3E=003E#ASCII character >
3F=003F#ASCII character ?
40=0040#ASCII character @
41=0041#ASCII character A
42=0042#ASCII character B
43=0043#ASCII character C
44=0044#ASCII character D
45=0045#ASCII character E
46=0046#ASCII character F
47=0047#ASCII character G
48=0048#ASCII character H
49=0049#ASCII character I
4A=004A#ASCII character J
4B=004B#ASCII character K
4C=004C#ASCII character L
4D=004D#ASCII character M
4E=004E#ASCII character N
4F=004F#ASCII character O
50=0050#ASCII character P
51=0051#ASCII character Q
52=0052#ASCII character R
53=0053#ASCII character S
54=0054#ASCII character T
55=0055#ASCII character U
56=0056#ASCII character V
57=0057#ASCII character W
58=0058#ASCII character X
59=0059#ASCII character Y
5A=005A#ASCII character Z
5B=005B#ASCII character [
5C=005C#ASCII character \
5D=005D#ASCII character ]
5E=005E#ASCII character ^
5F=005F#ASCII character _
60=0060#ASCII character `
61=0061#ASCII character a
62=0062#ASCII character b
63=0063#ASCII character c
64=0064#ASCII character d
65=0065#ASCII character e
66=0066#ASCII character f
67=0067#ASCII character g
68=0068#ASCII character h
69=0069#ASCII character i
6A=006A#ASCII character j
6B=006B#ASCII character k
6C=006C#ASCII character l
6D=006D#ASCII character m
6E=006E#ASCII character n
6F=006F#ASCII character o
70=0070#ASCII character p
71=0071#ASCII character q
72=0072#ASCII character r
73=0073#ASCII character s
74=0074#ASCII character t
75=0075#ASCII character u
76=0076#ASCII character v
77=0077#ASCII character w
78=0078#ASCII character x
79=0079#ASCII character y
7A=007A#ASCII character z
7B=007B#ASCII character {
7C=007C#ASCII character |
7D=007D#ASCII character }
7E=007E#ASCII character ~
7F=007F#ASCII character 
